dea698d9,Cristiano Ronaldo,2002-2018,1,POR,pt,Real Madrid!Manchester U...
268df6b1,Frank Lampard,1995-2016,0,ENG,gb-eng,Chelsea!West Ham United,...
561de8d0,Ryan Giggs,1992-2014,0,WAL,gb-wal,Manchester United
4cde5509,Zlatan Ibrahimović,2001-2018,1,SWE,se,Manchester United!Paris ...
d70ce98e,Lionel Messi,2004-2018,1,ARG,ar,Barcelona
bdf7b97d,Fernando Torres,2001-2018,1,ESP,es,Atlético Madrid!Chelsea,...
e40d028b,Gianluigi Buffon,1998-2018,1,ITA,it,Juventus!Parma
7dbbe367,Gareth Barry,1998-2018,1,ENG,gb-eng,Aston Villa!West Bromwic...
06420c93,Samuel Eto'o,1999-2018,1,CMR,cm,Antalyaspor!Konyaspor!B...
ed75b6c7,Francesco Totti,1998-2017,0,ITA,it,Roma
1ddbb0da,Iker Casillas,1999-2018,1,ESP,es,Real Madrid!Porto
f07be45a,Wayne Rooney,2002-2018,1,ENG,gb-eng,Manchester United!Everton
68517cfd,John Terry,1998-2018,1,ENG,gb-eng,Chelsea!Aston Villa
ade08a67,David Villa,2001-2017,1,ESP,es,New York City FC!Valenci...
e358587b,Pepe Reina,2000-2018,1,ESP,es,Napoli!Liverpool!Villar...
a737c150,Rogério Ceni,2003-2015,0,BRA,br,São Paulo FC
caeb5442,Steven Gerrard,1998-2016,0,ENG,gb-eng,Liverpool!LA Galaxy
cd53ecf4,Dirk Kuyt,2000-2017,0,NED,nl,Liverpool!Feyenoord!Fen...
45aa5d13,Alberto Gilardino,1999-2018,1,ITA,it,Spezia!Fiorentina!Milan...
02d2c436,Luis Hernández,2005-2018,1,ESP,es,Málaga!Sporting Gijón!C...
f1e8372d,Jermain Defoe,2000-2018,1,ENG,gb-eng,Tottenham Hotspur!Bourne...
71c5f16f,Andrea Pirlo,1998-2017,1,ITA,it,Milan!New York City FC!...
54b6ee79,Claudio Pizarro,1999-2018,1,PER,pe,Bayern Munich!Werder Bre...
c0c5ee74,Thierry Henry,1998-2014,0,FRA,fr,Arsenal!New York Red Bul...
51a3caf1,Patrice Evra,2002-2018,1,FRA,fr,Manchester United!Marsei...
f45e1bb2,Robbie Keane,1999-2016,0,IRL,ie,Tottenham Hotspur!LA Gal...
8a08491a,Gonzalo Higuaín,2004-2018,1,ARG,ar,Juventus!Real Madrid!Na...
4c5b14d2,Joaquín,2001-2018,1,ESP,es,Betis!Valencia!Málaga!...
24a3a72c,Paul Scholes,1994-2013,0,ENG,gb-eng,Manchester United
30184789,Emile Heskey,1994-2016,0,ENG,gb-eng,Liverpool!Leicester City...
ab7263c1,Michael Carrick,1999-2018,1,ENG,gb-eng,Manchester United!West H...
71672fa0,Petr Čech,2002-2018,1,CZE,cz,Chelsea!Arsenal!Rennes,...
dc001a06,Xabi Alonso,2000-2017,0,ESP,es,Real Madrid!Liverpool!R...
c1b4188c,Xavi,1999-2015,0,ESP,es,Barcelona
53539318,David Beckham,1994-2013,0,ENG,gb-eng,Manchester United!Real M...
cfd65a29,Andrés Iniesta,2002-2018,1,ESP,es,Barcelona
c9e99e49,Dani Alves,2002-2018,1,BRA,br,Barcelona!Paris Saint-Ge...
73d9bdc7,Peter Crouch,2001-2018,1,ENG,gb-eng,Stoke City!Liverpool!To...
70d74ece,Karim Benzema,2004-2018,1,FRA,fr,Real Madrid!Lyon
527f063d,Edinson Cavani,2006-2018,1,URU,uy,Paris Saint-Germain!Napo...
09586899,Arjen Robben,2000-2018,1,NED,nl,Bayern Munich!Chelsea!P...
931ed5e9,Nicolas Anelka,1997-2014,0,FRA,fr,Chelsea!Manchester City,...
f5781978,Dimitar Berbatov,2000-2016,0,BUL,bg,Bayer Leverkusen!Manches...
c1a26d43,Carlos Tevez,2001-2018,1,ARG,ar,Boca Juniors!Shanghai Gr...
3fcab3a8,Robin van Persie,2001-2018,1,NED,nl,Feyenoord!Fenerbahçe SK,...
86841dfb,David James,1992-2013,0,ENG,gb-eng,Liverpool!Portsmouth!Ma...
08511d65,Sergio Ramos,2003-2018,1,ESP,es,Real Madrid!Sevilla
4d034881,Sergio Agüero,2002-2018,1,ARG,ar,Manchester City!Atlético...
d109f62b,Rubén Castro,2000-2018,1,ESP,es,Betis!Guizhou Zhicheng F...
5e36a0dd,Miroslav Klose,2000-2016,0,GER,de,Lazio!Kaiserslautern!Ba...
33508c78,Cesc Fàbregas,2004-2018,1,ESP,es,Chelsea!Arsenal!Barcelona
2fb9e5c1,Javier Zanetti,1998-2014,0,ARG,ar,Internazionale
